"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"IP address";"Referrer URL";"Who are you?  (Multiple options can be selected)  [LTS user]";"Who are you?  (Multiple options can be selected)  [LTS contributor/developer]";"Who are you?  (Multiple options can be selected)  [LTS sponsor]";"Who are you?  (Multiple options can be selected)  [Debian developer (project member)]";"Who are you?  (Multiple options can be selected)  [Debian FTP team member]";"Who are you?  (Multiple options can be selected)  [Debian security team member]";"Who are you?  (Multiple options can be selected)  [Debian release team member]";"Who are you?  (Multiple options can be selected)  [Debian www team member]";"Who are you?  (Multiple options can be selected)  [Debian System Administrator (DSA)]";"Who are you?  (Multiple options can be selected)  [Debian Buildd Admin]";"Who are you?  (Multiple options can be selected)  [Other]";"How long have you been using Debian?";"How long have you been using LTS?";"Are you using Extended LTS (ELTS)?";"Why do you use LTS?     Please skip this and the next five questions if you are not using LTS and continue with question 11. ";"On a scale of 1 (= very unhappy) to 10 (= very happy) how happy are you with the quality of the LTS updates? [Array]";"On a scale of 1 (= very unhappy) to 10 (= very happy), how happy are you with the how quickly LTS updates reach you? [Array]";"How would you feel if you could no longer use Debian LTS?";"Where do you use Debian LTS? [At home.]";"Where do you use Debian LTS? [At work.]";"Where do you use Debian LTS? [In another organization.]";"If you use LTS at work or in an organization, how big is that organization?";"Questions for everyone again:On a scale from 1 (= very unhappy) to 10 (= very happy), if your Debian duties led you to interact with LTS contributors, how would you rate the interaction with said contributors? [Array]";"Do you see problems with/about Debian LTS and if so, which?";"What suggestions/wishes do you have for Debian LTS?";"How likely is it that you would recommend Debian LTS to a friend or colleague? (1 = very unlikely, 10 = very likely) [Array]";"Total time";"Group time: Debian LTS Survey";"Question time: G01Q001";"Question time: G01Q17";"Question time: G01Q16";"Question time: G00Q13";"Question time: G01Q05";"Question time: G01Q06";"Question time: G01Q07";"Question time: G01Q13";"Question time: G01Q18";"Question time: G01Q19";"Question time: G01Q09";"Question time: G01Q10";"Question time: G01Q11";"Question time: G01Q12"
"1414";"2020-07-26 17:18:42";"1";"en";"658755547";"2020-07-26 17:10:23";"2020-07-26 17:18:42";"98.118.51.134";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"To maintain stable and secure systems without a hassle of otherwise mandatory distribution upgrade with purpose of obtaining security patching of systems that otherwise work just fine.";"10";"9";"Very disappointed.";"Yes";"Yes";"No";"101-1000 people";"10";"No problems.";"You are doing a great job.";"10";"996.38";"996.38";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1415";"2020-07-26 17:25:48";"1";"en";"1197679215";"2020-07-26 17:12:15";"2020-07-26 17:25:48";"5.64.136.88";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"> 20 years";"4-6 years";"No and I don't know what ELTS is.";"Sometimes, I can't upgrade as fast as I want to, usually due to problems with old hardware or 3rd party software which might have dependencies that can't be fullfilled in newer versions of Debian unless I'd compile from source.";"6";"6";"Somewhat disappointed.";"No";"No";"Yes";"2-10 people";"7";"Availability of current software may be sketchy, compared to CentOS, which suggests that you can run 10 years without upgrading. That sounds attractive for people who are unable to jump on the container bandwagon, although I appreciate that this is most likely a nuisance for those who are condemmed to support it.

And since you don't seem to solicit comments on the question below, I'll include one here: LTS is good to have for just in case, and in case an organisation argues that they want to go CentOS because it has a 10 year lifetime, thus producing less work. Ie, when they think they can't afford the ""hasty"" 2-3 year upgrade cycle that Debian ""mandates"".";"I think I know how much of a drag LTS is, but if I could have a wish, it would be more backports to LTS versions, and generally the ability to install several versions of things in parallel - eg. starting with two different versions of glibc and OpenSSL.";"";"1627.12";"1627.12";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1416";"";"";"en";"1881494524";"2020-07-26 17:13:49";"2020-07-26 17:13:49";"192.115.25.214";"http://layer-acht.org/thinking/blog/20200726-lts-survey/";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1417";"2020-07-26 17:26:45";"1";"en";"1771556916";"2020-07-26 17:18:53";"2020-07-26 17:26:45";"24.70.69.96";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"My decentralized, sclerotic organization has a hard time keeping all of its Debian servers upgraded to the current stable release. New servers are always installed with the current stable release, but we have machines, sometimes up to 5 years old, that often do not get a dist-upgrade within a year after a new stable is released.";"10";"10";"Very disappointed.";"No";"Yes";"Yes";"Over 1000 people";"";"No.";"I have none.";"10";"945.28";"945.28";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1418";"";"";"en";"1822254639";"2020-07-26 17:20:04";"2020-07-26 17:20:04";"82.218.231.42";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1419";"";"";"en";"769050730";"2020-07-26 17:21:14";"2020-07-26 17:21:14";"73.154.133.63";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1420";"";"";"en";"542426764";"2020-07-26 17:21:14";"2020-07-26 17:21:14";"82.220.95.108";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1421";"2020-07-26 17:24:20";"1";"en";"1886301494";"2020-07-26 17:22:49";"2020-07-26 17:24:20";"99.65.78.170";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian user, follower, and contributor";"10-20 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"181.06";"181.06";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1422";"2020-07-26 17:26:03";"1";"en";"585379098";"2020-07-26 17:23:36";"2020-07-26 17:26:03";"62.83.54.110";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"> 20 years";"1-3 years";"No.";"Can't upgrade some systems. It is great to have long security support.";"8";"8";"Very disappointed.";"Yes";"Yes";"No";"11-100 people";"";"";"";"9";"294.31";"294.31";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1423";"2020-07-26 18:06:00";"1";"en";"552879835";"2020-07-26 17:24:39";"2020-07-26 18:06:00";"81.44.242.83";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian Maintainer ";"10-20 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"";"Actually I am not using Debian LTS, as I just upgraded all my systems after some hardware fixes, but I was using Debian LTS before these hardware problems.
I wish that Debian LTS has a long live, as I am pretty sure that I will have Debian 10 running in my computers for long time as I did with Debian 8, upgraded to Debian 10 a couple of months ago. ";"10";"4962.45";"4962.45";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1424";"";"";"en";"1749600455";"2020-07-26 17:28:44";"2020-07-26 17:28:44";"73.246.59.1";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1425";"2020-07-26 17:36:40";"1";"en";"1915432263";"2020-07-26 17:30:03";"2020-07-26 17:36:40";"79.160.170.254";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"";"No and I don't know what ELTS is.";"If something works, don't fix it. That is why i use LTS - it also gives me a peace of mind that there is no too ugly bugs in important infrastructure such as mdraid, filesystems, webservers, etc...";"7";"7";"Very disappointed.";"Yes";"Yes";"Yes";"101-1000 people";"";"No problems";"Try to track kernel updates a tad more often....";"10";"795.26";"795.26";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1426";"2020-07-26 17:37:09";"1";"en";"1247787483";"2020-07-26 17:34:41";"2020-07-26 17:37:08";"78.207.28.201";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"Hard to upgrade some workloads.";"10";"9";"Very disappointed.";"No";"Yes";"No";"101-1000 people";"9";"Does not include backports.";"Please incorporate some of the backports, maybe dropping the older version if it's too hard to maintain both.";"10";"295.91";"295.91";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1427";"";"";"en";"794574808";"2020-07-26 17:38:36";"2020-07-26 17:38:36";"188.188.253.195";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1428";"2020-07-26 17:42:02";"1";"en";"572067692";"2020-07-26 17:40:09";"2020-07-26 17:42:01";"212.198.114.32";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"Production systems";"8";"7";"Somewhat disappointed.";"Yes";"Yes";"No";"101-1000 people";"";"";"";"8";"225.91";"225.91";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1429";"2020-07-26 17:44:51";"1";"en";"104541410";"2020-07-26 17:42:34";"2020-07-26 17:44:51";"84.113.140.9";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"Yes.";"To be able to plan upgrades better without depending on the regular stable release cycle too much.";"9";"9";"Somewhat disappointed.";"No";"Yes";"No";"11-100 people";"";"";"";"9";"275.47";"275.47";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1430";"";"";"en";"1740794328";"2020-07-26 17:43:35";"2020-07-26 17:43:35";"92.170.12.248";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1431";"";"";"en";"1545212556";"2020-07-26 17:44:28";"2020-07-26 17:44:28";"50.53.98.52";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1432";"2020-07-26 17:46:55";"1";"en";"54534077";"2020-07-26 17:46:07";"2020-07-26 17:46:55";"155.93.249.74";"";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"> 20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"96.63";"96.63";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1433";"2020-07-26 17:52:00";"1";"en";"189271025";"2020-07-26 17:48:01";"2020-07-26 17:52:00";"46.5.255.254";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"Avoid major upgrades (especially the time to properly migrate and verify configuration, etc.) on systems that are 'just supposed to work' until a time where the upgrades are much more convenient.";"9";"10";"Very disappointed.";"Yes";"Yes";"No";"2-10 people";"";"";"Thank you very much for your efforts, it is very much appreciated.";"10";"479.53";"479.53";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1434";"";"";"en";"1700684616";"2020-07-26 17:49:08";"2020-07-26 17:49:08";"108.16.249.68";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1435";"";"";"en";"1106588339";"2020-07-26 17:53:43";"2020-07-26 17:53:43";"31.16.252.105";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1436";"";"";"en";"1277371554";"2020-07-26 17:57:06";"2020-07-26 17:57:06";"83.242.60.102";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1437";"";"";"en";"145997256";"2020-07-26 17:58:22";"2020-07-26 17:58:22";"85.253.50.131";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1438";"2020-07-26 18:02:27";"1";"en";"1302999941";"2020-07-26 18:00:43";"2020-07-26 18:02:27";"95.90.246.65";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"";"9";"8";"Very disappointed.";"Yes";"No";"No";"";"";"";"";"10";"209.31";"209.31";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1439";"2020-07-26 18:01:47";"1";"en";"1543261205";"2020-07-26 18:00:47";"2020-07-26 18:01:47";"107.5.204.13";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"DM";"5-10 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"119.06";"119.06";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1440";"";"";"en";"1918493815";"2020-07-26 18:01:29";"2020-07-26 18:01:29";"72.69.102.249";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1441";"2020-07-26 18:02:56";"1";"en";"1179080061";"2020-07-26 18:01:36";"2020-07-26 18:02:56";"73.246.84.250";"";"Yes";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"Yes.";"Hard to coordinate upgrades every 2 years across all of our users";"10";"10";"Very disappointed.";"No";"Yes";"No";"Over 1000 people";"10";"";"";"10";"161.75";"161.75";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1442";"";"";"en";"99168293";"2020-07-26 18:01:48";"2020-07-26 18:01:48";"82.202.68.232";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1443";"2020-07-26 18:06:45";"1";"en";"938264940";"2020-07-26 18:05:19";"2020-07-26 18:06:45";"73.200.239.26";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"OSS maintainer who often supports older Debians";"5-10 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"Users of LTS try to use very new open source packages (e.g. modules from PyPI) with old Python/OpenSSL/other system libraries from LTS and it leads to extreme sadness.";"I don't know how to solve my problem in 12, but it's a lot of pain for an open source maintainer.";"1";"173.74";"173.74";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1444";"";"";"en";"1514171936";"2020-07-26 18:07:16";"2020-07-26 18:07:16";"90.90.102.59";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1445";"";"";"en";"1571545050";"2020-07-26 18:09:58";"2020-07-26 18:09:58";"77.37.218.27";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1446";"2020-07-26 18:13:54";"1";"en";"64823375";"2020-07-26 18:12:02";"2020-07-26 18:13:54";"172.58.231.109";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No and I don't know what ELTS is.";"Stability without need for dist upgrades";"";"";"Very disappointed.";"Yes";"No";"No";"";"";"";"";"6";"224.84";"224.84";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1447";"2020-07-26 18:16:54";"1";"en";"1925828951";"2020-07-26 18:12:34";"2020-07-26 18:16:53";"184.175.46.152";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"Too slow to upgrade all machines to currently supported versions";"8";"";"Somewhat disappointed.";"Yes";"Yes";"No";"11-100 people";"";"Sustainability.
The idea of stable releases are no longer trendy.";"I mostly do not think about updates. That is what I prefer. So please keep that up.";"7";"519.92";"519.92";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1448";"2020-07-26 18:18:25";"1";"en";"1665334696";"2020-07-26 18:14:38";"2020-07-26 18:18:25";"73.9.180.87";"https://forum.mxlinux.org/";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"4-6 years";"No and I don't know what ELTS is.";"stability, simpliciity";"10";"10";"Very disappointed.";"Yes";"No";"No";"";"";"no/none";"";"10";"455.52";"455.52";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1449";"2020-07-26 18:18:15";"1";"en";"1020370095";"2020-07-26 18:15:58";"2020-07-26 18:18:15";"109.41.128.17";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"too lazy to upgrade";"10";"9";"Very disappointed.";"Yes";"Yes";"Yes";"11-100 people";"";"";"";"10";"275.2";"275.2";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1450";"";"";"en";"445431919";"2020-07-26 18:19:40";"2020-07-26 18:19:40";"94.134.89.183";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1451";"2020-07-26 18:26:51";"1";"en";"210871822";"2020-07-26 18:21:09";"2020-07-26 18:26:51";"176.83.89.175";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"Yes";"Yes";"";"10-20 years";"1-3 years";"No.";"I need to support legacy systems";"9";"8";"Somewhat disappointed.";"No";"Yes";"Yes";"101-1000 people";"8";"Yes, Debian LTS is a commercial project driven by Freexian. Commercial companies making free use of community resources is bad for the project. Some of our hosting providers/sponsors/donors have a concern hosting a project with commercial activities.";"Debian LTS should pay and manage their own infrastructure.";"8";"684.91";"684.91";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1452";"2020-07-26 18:26:46";"1";"en";"117864086";"2020-07-26 18:22:22";"2020-07-26 18:26:46";"81.2.125.29";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"Yes.";"Hard to upgrade systems sometimes";"9";"8";"Very disappointed.";"Yes";"Yes";"Yes";"101-1000 people";"";"";"";"9";"528.91";"528.91";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1453";"2020-07-26 18:27:59";"1";"en";"1324734778";"2020-07-26 18:26:18";"2020-07-26 18:27:59";"82.123.31.63";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian user";"10-20 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"Not disappointed at all.";"Yes";"Yes";"No";"";"";"";"";"6";"201.71";"201.71";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1454";"2020-07-26 18:33:00";"1";"en";"1684935179";"2020-07-26 18:28:09";"2020-07-26 18:33:00";"84.17.36.151";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No and I don't know what ELTS is.";"Small backup servers that requires minimal maintenance.";"10";"10";"Very disappointed.";"Yes";"No";"No";"";"";"I have not switched to 10 yet since it failed critically on first attempt with the first release. (Starting XFCE with startx command.)";"";"10";"583.7";"583.7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1455";"2020-07-26 18:33:11";"1";"en";"731800624";"2020-07-26 18:31:47";"2020-07-26 18:33:11";"66.171.184.249";"";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"5-10 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"I think it's important to ensure that security updates still go out to LTS users. Thank you! ";"";"169.26";"169.26";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1456";"2020-07-26 18:33:44";"1";"en";"866835343";"2020-07-26 18:31:58";"2020-07-26 18:33:44";"91.232.154.11";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"";"10";"10";"Very disappointed.";"Yes";"Yes";"No";"101-1000 people";"";"";"";"10";"213.66";"213.66";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1457";"2020-07-26 18:34:02";"1";"en";"662409294";"2020-07-26 18:32:09";"2020-07-26 18:34:02";"66.159.126.138";"";"Yes";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"No.";"Older, more stable software that is still supported";"8";"8";"Very disappointed.";"Yes";"Yes";"No";"101-1000 people";"9";"";"Keep going!";"10";"227.09";"227.09";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1458";"2020-07-26 18:34:24";"1";"en";"439863624";"2020-07-26 18:33:26";"2020-07-26 18:34:24";"84.188.91.110";"https://surveys.debian.net/";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"Yes.";"";"10";"9";"Very disappointed.";"Yes";"No";"Yes";"2-10 people";"";"";"";"10";"116.62";"116.62";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1459";"2020-07-26 18:47:00";"1";"en";"1721032310";"2020-07-26 18:35:20";"2020-07-26 18:47:00";"90.126.71.60";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian user";"1-5 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"First I was confusing Debian LTS with Debian stable since stable is supported 3 years which can be seen as ""long term"" (see ubuntu flavors).
So I changed my first answer from LTS user to debian user. I'm probably not knowledgeable enough about Debian lifecycle.";"";"";"1401.52";"1401.52";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1460";"";"";"en";"367919510";"2020-07-26 18:39:57";"2020-07-26 18:39:57";"91.42.25.24";"android-app://com.google.android.gm/";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1461";"2020-07-26 18:43:03";"1";"en";"1712775720";"2020-07-26 18:40:04";"2020-07-26 18:43:03";"87.79.250.169";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"> 20 years";"1-3 years";"No and I don't know what ELTS is.";"Longer support cycle of productive systems";"9";"9";"Very disappointed.";"No";"Yes";"No";"101-1000 people";"";"";"";"10";"359.87";"359.87";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1462";"2020-07-26 18:43:21";"1";"en";"138479724";"2020-07-26 18:40:12";"2020-07-26 18:43:21";"160.179.171.73";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"To have security update and a long living virtual machines";"8";"9";"Very disappointed.";"No";"Yes";"No";"2-10 people";"6";"No";"N/A";"10";"379.78";"379.78";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1463";"2020-07-26 18:42:04";"1";"en";"1394285237";"2020-07-26 18:40:17";"2020-07-26 18:42:04";"62.65.79.230";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"10";"213.32";"213.32";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1464";"";"";"en";"727494571";"2020-07-26 18:40:31";"2020-07-26 18:40:31";"91.180.95.36";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1465";"2020-07-26 18:56:28";"1";"en";"1909597444";"2020-07-26 18:43:21";"2020-07-26 18:56:28";"82.132.236.122";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"Sometimes to avoid a potentially painful upgrade on hardware scheduled for replacement or a deprecated service. Other times because the service owner is terrified to upgrade.";"8";"10";"Somewhat disappointed.";"No";"Yes";"No";"2-10 people";"";"The biggest problem is quality. There seem to be a high number of regressions and follow-up fixes. Sometimes the choice of what packages are updated or not seems arbitrary. Often the DLA is not posted for days after the updates are available. ";"Please test packages thoroughly and post DLA notices in good time.";"8";"1574.96";"1574.96";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1466";"2020-07-26 18:51:36";"1";"en";"200193907";"2020-07-26 18:47:36";"2020-07-26 18:51:36";"80.187.98.218";"";"No";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"> 20 years";"I'm not using LTS.";"No.";"";"8";"10";"Very disappointed.";"No";"No";"No";"";"9";"It should cover more architectures. apt.postgresql.org has to cease ppc64el support because it is missing from LTS and eventually even ftp.Debian.org.";"";"8";"480.8";"480.8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1467";"";"";"en";"1155071058";"2020-07-26 18:51:31";"2020-07-26 18:51:31";"79.35.246.210";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1468";"";"";"en";"248517680";"2020-07-26 18:51:46";"2020-07-26 18:51:46";"92.184.107.122";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1470";"2020-07-26 18:54:39";"1";"en";"958828095";"2020-07-26 18:52:49";"2020-07-26 18:54:39";"62.251.125.215";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"> 20 years";"4-6 years";"No and I don't know what ELTS is.";"";"8";"9";"Somewhat disappointed.";"No";"No";"Yes";"";"";"";"";"7";"221.71";"221.71";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1471";"";"";"en";"1168555658";"2020-07-26 18:55:48";"2020-07-26 18:55:48";"107.131.127.0";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
